"Guid","CurrencyIsoCode","SBQQ__Active__c","SBQQ__AssetQuoteLineQuantity__c","SBQQ__AssetQuoteLine__c","SBQQ__Quote__c","SBQQ__SubscriptionBasePrice__c","SBQQ__SubscriptionNetTotal__c","SBQQ__SubscriptionQuoteLine__c"
05f9ab63-eb31-4c48-b1a0-9ebb0fffdda2,USD,false,1.0,cc06a46e-7772-491e-8db3-f46f34d469c0,769e7f0b-c67f-4dd4-ae86-4606628e58cb,17500.0,16500.0,840546b8-8f76-44c9-a3ed-706b7b6d8013
05fb07a7-7fc9-449d-8274-f645e58418ad,USD,false,1.0,"#N/A","#N/A",17500.0,4313.83,"#N/A"
0602f6cd-43b5-4722-b172-39209949eb83,GBP,false,1.0,"#N/A","#N/A",8000.0,13200.0,"#N/A"
0616b33d-025f-472e-a5f8-c5f7e446c725,USD,false,1.0,"#N/A","#N/A",10000.0,16500.0,"#N/A"
0618e00e-ae83-4953-8709-42e1c6547e87,USD,false,1.0,"#N/A","#N/A",2000.0,2400.0,"#N/A"
061c3401-db68-413c-875c-5b378afe90a7,USD,false,1.0,"#N/A","#N/A",17500.0,4440.89,"#N/A"
062c2510-ed20-4c9f-a7a3-5fe481cd918c,USD,false,0.0,ff2fa326-0423-4ea1-b1c9-ac9ca451abfc,3301bdc9-9031-4b21-be5e-93e119d3a3d0,10000.0,0.0,d8bbda15-e51c-40a5-81ac-0aed829f2144
063b63bc-df59-4a18-98b7-b9504074648f,USD,false,1.0,"#N/A","#N/A",2000.0,11800.0,"#N/A"
064d1d17-57f6-44fc-a463-18a70843c879,USD,false,1.0,"#N/A","#N/A",1900.0,1829.78,"#N/A"
0655bde1-8c0e-4e9a-be9a-81a7a1273b98,USD,false,1.0,1515d704-3806-4fd9-b8d2-cd58d9b6f67c,b486150b-47de-46ed-81a1-35d9e4321624,10000.0,14445.12,7534f256-7a2b-40b0-8a0b-1fe842400ac9
0656bc17-489a-467d-9f48-016a7ce72d26,USD,false,2.0,"#N/A","#N/A",1773.11,10578.91,"#N/A"
065c1943-46d5-4e62-bbc8-83b6e59b2ce7,USD,false,0.0,"#N/A","#N/A",1332.3,0.0,"#N/A"
0661bc03-d9d7-4a5b-bffa-0cd4cda121e1,USD,false,1.0,"#N/A","#N/A",865.0,1829.78,"#N/A"
0678e457-ba76-4989-bb37-d57721c347eb,USD,false,1.0,bbb521b3-7f07-40ef-acee-4b95dec2164f,579d7231-98c3-4a6f-bfe8-f0aa08c46810,10000.0,8196.03,09d4f751-f961-4a25-b591-abba969d00ac
06817e30-beb1-4167-9ca1-4b8c4ba834b5,USD,false,1.0,"#N/A","#N/A",10000.0,5500.0,"#N/A"
0688ae6a-b89a-4e96-b4c2-813cbf6e6286,USD,false,1.0,"#N/A","#N/A",10000.0,2000.0,"#N/A"
068e687a-4856-4d46-bd33-628e4c127b45,USD,false,1.0,f6f24362-d8c0-494f-9562-d189c725310f,579d7231-98c3-4a6f-bfe8-f0aa08c46810,17500.0,8196.03,09d4f751-f961-4a25-b591-abba969d00ac
069735b2-1d72-4b5a-ab56-442e5693e2b6,USD,false,1.0,"#N/A","#N/A",17500.0,5500.0,"#N/A"
06ab6c3d-a115-4dae-a0fc-f6a228cdd3d5,USD,false,1.0,"#N/A","#N/A",17500.0,5500.0,"#N/A"
06ac1e7b-97b9-4ecc-ad37-f16113b4848b,USD,false,1.0,"#N/A","#N/A",10000.0,16500.0,"#N/A"
